method,text_id,rep,latency_s,success_rate,mean_rel_err,std_rel_err
regex,domain_0_heart_rate,0,0.0003456999984337017,1.0,0.0,0.0
llm,domain_0_heart_rate,0,4.228340000001481,1.0,0.0,0.0
llm,domain_0_heart_rate,1,3.6959069000004092,1.0,0.0,0.0
llm,domain_0_heart_rate,2,1.7763795999999274,1.0,0.0,0.0
regex,domain_1_cholesterol,0,0.0002567999981692992,1.0,0.0,0.0
llm,domain_1_cholesterol,0,2.1462855999998283,1.0,0.0,0.0
llm,domain_1_cholesterol,1,2.0132178999992902,1.0,0.0,0.0
llm,domain_1_cholesterol,2,2.773171499997261,1.0,0.0,0.0
regex,domain_2_temperature,0,0.0001866000020527281,1.0,0.0,0.0
llm,domain_2_temperature,0,2.5777585999967414,1.0,0.0,0.0
llm,domain_2_temperature,1,2.0146504000003915,1.0,0.0,0.0
llm,domain_2_temperature,2,2.047062300000107,1.0,0.0,0.0
regex,domain_3_stock_price,0,0.0003647999983513728,1.0,0.0,0.0
llm,domain_3_stock_price,0,2.5968876000042656,1.0,0.0,0.0
llm,domain_3_stock_price,1,2.130531599999813,1.0,0.0,0.0
llm,domain_3_stock_price,2,2.7209646999981487,1.0,0.0,0.0
regex,domain_4_credit_score,0,0.00019449999672360718,1.0,0.0,0.0
llm,domain_4_credit_score,0,3.063481799996225,1.0,0.0,0.0
llm,domain_4_credit_score,1,3.2487929000053555,1.0,0.0,0.0
llm,domain_4_credit_score,2,4.191534400000819,1.0,0.0,0.0
regex,domain_5_study_hours,0,0.0004124000042793341,1.0,0.0,0.0
llm,domain_5_study_hours,0,3.382513500000641,1.0,0.0,0.0
llm,domain_5_study_hours,1,2.425468000001274,1.0,0.0,0.0
llm,domain_5_study_hours,2,3.921266299999843,1.0,0.0,0.0
regex,domain_6_commute_time,0,0.00041340000461786985,1.0,0.0,0.0
llm,domain_6_commute_time,0,2.4645662999973865,1.0,0.0,0.0
llm,domain_6_commute_time,1,2.9192493000009563,1.0,0.0,0.0
llm,domain_6_commute_time,2,3.1118587000019033,1.0,0.0,0.0
regex,domain_7_rainfall,0,0.0005339999988791533,1.0,0.0,0.0
llm,domain_7_rainfall,0,2.9826170000014827,1.0,0.0,0.0
llm,domain_7_rainfall,1,2.6302937000000384,1.0,0.0,0.0
llm,domain_7_rainfall,2,2.178138499999477,1.0,0.0,0.0
