text_id,seed,iterations,score
domain_0_heart_rate,0,0,59.89
domain_0_heart_rate,0,1,59.89
domain_0_heart_rate,0,2,59.87
domain_0_heart_rate,0,3,59.98
domain_0_heart_rate,0,5,59.95
domain_0_heart_rate,0,10,60.0
domain_0_heart_rate,1,0,59.89
domain_0_heart_rate,1,1,60.0
domain_0_heart_rate,1,2,59.98
domain_0_heart_rate,1,3,59.98
domain_0_heart_rate,1,5,59.97
domain_0_heart_rate,1,10,99.83
domain_0_heart_rate,2,0,59.61
domain_0_heart_rate,2,1,59.94
domain_0_heart_rate,2,2,59.93
domain_0_heart_rate,2,3,59.96
domain_0_heart_rate,2,5,60.0
domain_0_heart_rate,2,10,59.98
domain_0_heart_rate,3,0,59.74
domain_0_heart_rate,3,1,59.88
domain_0_heart_rate,3,2,59.91
domain_0_heart_rate,3,3,59.97
domain_0_heart_rate,3,5,59.89
domain_0_heart_rate,3,10,99.76
domain_0_heart_rate,4,0,59.86
domain_0_heart_rate,4,1,59.9
domain_0_heart_rate,4,2,59.99
domain_0_heart_rate,4,3,59.85
domain_0_heart_rate,4,5,59.93
domain_0_heart_rate,4,10,99.92
domain_1_cholesterol,0,0,59.91
domain_1_cholesterol,0,1,59.97
domain_1_cholesterol,0,2,59.99
domain_1_cholesterol,0,3,59.99
domain_1_cholesterol,0,5,59.91
domain_1_cholesterol,0,10,59.99
domain_1_cholesterol,1,0,59.78
domain_1_cholesterol,1,1,59.81
domain_1_cholesterol,1,2,59.98
domain_1_cholesterol,1,3,59.87
domain_1_cholesterol,1,5,79.93
domain_1_cholesterol,1,10,99.9
domain_1_cholesterol,2,0,59.64
domain_1_cholesterol,2,1,59.83
domain_1_cholesterol,2,2,59.96
domain_1_cholesterol,2,3,59.93
domain_1_cholesterol,2,5,59.97
domain_1_cholesterol,2,10,59.99
domain_1_cholesterol,3,0,59.79
domain_1_cholesterol,3,1,59.93
domain_1_cholesterol,3,2,59.98
domain_1_cholesterol,3,3,59.99
domain_1_cholesterol,3,5,59.97
domain_1_cholesterol,3,10,59.98
domain_1_cholesterol,4,0,59.79
domain_1_cholesterol,4,1,59.8
domain_1_cholesterol,4,2,59.92
domain_1_cholesterol,4,3,59.9
domain_1_cholesterol,4,5,59.9
domain_1_cholesterol,4,10,79.9
domain_2_temperature,0,0,59.72
domain_2_temperature,0,1,59.99
